Title,Price,Location,Year,Link,Mileage,Fuel,Engine,Transmission,Last_updated,Image_url
Toyota Corolla  2014 GLi 1.3 VVTi,PKR 27.75 lacs,Karachi,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-karachi-10042937,"120,000 km",Petrol,1300 cc,Manual,Updated about 3 hours ago,https://cache4.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2014-121164939.webp
Toyota Corolla  2014 GLi 1.3 VVTi,PKR 36.5 lacs,Lahore,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-lahore-9667152,"52,000 km",Petrol,1300 cc,Manual,Updated about 7 hours ago,https://cache3.pakwheels.com/ad_pictures/1152/toyota-corolla-gli-vvti-2014-115208283.webp
Toyota Corolla  2015 GLi Automatic 1.3 VVTi,PKR 35 lacs,Karachi,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-9989092,"78,000 km",Petrol,1300 cc,Automatic,Updated about 9 hours ago,https://cache4.pakwheels.com/ad_pictures/1208/toyota-corolla-gli-vvti-automatic-2015-120843852.webp
Toyota Corolla  2015 GLi 1.3 VVTi,PKR 33 lacs,Karachi,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-10051683,"125,000 km",Petrol,1300 cc,Manual,Updated about 10 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2015-121137935.webp
Toyota Corolla  2016 GLi Automatic 1.3 VVTi,PKR 36.25 lacs,Karachi,2016,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-karachi-9982900,"70,500 km",Petrol,1300 cc,Automatic,Updated about 10 hours ago,https://cache4.pakwheels.com/ad_pictures/1200/toyota-corolla-gli-vvti-automatic-2016-120083106.webp
Toyota Corolla  2013 GLi Automatic 1.6 VVTi,PKR 33.5 lacs,Lahore,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-lahore-10051158,"106,484 km",Petrol,1600 cc,Automatic,Updated about 11 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-1-6-gli-automatic-2013-121130122.webp
Toyota Corolla  2014 GLi 1.3 VVTi,PKR 31 lacs,Islamabad,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-islamabad-10050832,"349,252 km",Petrol,1300 cc,Manual,Updated about 13 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2014-121125377.webp
Toyota Corolla  2015 GLi 1.3 VVTi,PKR 35 lacs,Rawalpindi,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-rawalpindi-10034981,"91,000 km",Petrol,1300 cc,Manual,Updated about 14 hours ago,https://cache4.pakwheels.com/ad_pictures/1209/toyota-corolla-gli-vvti-2015-120963831.webp
Toyota Corolla  2013 GLi Automatic 1.6 VVTi,PKR 28.15 lacs,Karachi,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-karachi-10008998,"122,000 km",Petrol,1600 cc,Automatic,Updated about 14 hours ago,https://cache3.pakwheels.com/ad_pictures/1204/toyota-corolla-1-6-gli-automatic-2013-120496190.webp
Toyota Corolla  2013 GLi Automatic 1.6 VVTi,PKR 36 lacs,Islamabad,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-islamabad-10029441,"155,218 km",Petrol,1600 cc,Automatic,Updated about 15 hours ago,https://cache3.pakwheels.com/ad_pictures/1208/toyota-corolla-1-6-gli-automatic-2013-120805705.webp
